year,university,admissions
2006,Anglia Ruskin University,2225
2006,Aston University,2240
2006,University of Bath,2750
2006,Bath Spa University,1635
2006,University of Birmingham,5265
2006,University College Birmingham,1020
2006,Bishop Grosseteste University,395
2006,University of Bolton,680
2006,Bournemouth University,3535
2006,University of Bradford,2635
2006,University of Brighton,4350
2006,University of Bristol,3660
2006,University of the West of England,5690
2006,Brunel University,3405
2006,University of Buckingham,40
2006,Buckinghamshire New University,1230
2006,University of Cambridge,3330
2006,Canterbury Christ Church University,1980
2006,Birmingham City University,3030
2006,University of Central Lancashire,4820
2006,University of Chester,2495
2006,University of Chichester,995
2006,"City, University of London",2255
2006,City and Islington College,35
2006,"Courtauld Institute of Art, University of London",60
2006,Coventry University,3895
2006,De Montfort University,4315
2006,University of Derby,2165
2006,University of Durham,3535
2006,University of East Anglia,2695
2006,University of East London,3690
2006,Edge Hill University,1855
2006,University of Essex,2000
2006,University of Exeter,3275
2006,Falmouth University,755
2006,University of Gloucestershire,1965
2006,"Goldsmiths, University of London",1535
2006,University of Greenwich,2960
2006,Harper Adams University,420
2006,University of Hertfordshire,4395
2006,Heythrop College,140
2006,University of Huddersfield,3730
2006,University of Hull,3885
2006,Imperial College London,2270
2006,University of Keele,1785
2006,University of Kent,4070
2006,"King's College London, University of London",3250
2006,Kingston University,6145
2006,Lancaster University,2765
2006,Leeds City College,135
2006,University of Leeds,6745
2006,Leeds Trinity University,750
2006,Leeds Beckett University,6270
2006,Leeds Arts University,410
2006,Leeds College of Music,70
2006,University of Leicester,2475
2006,University of Lincoln,3415
2006,University of Liverpool,4215
2006,Liverpool Hope University,1785
2006,Liverpool Institute for Performing Arts,195
2006,Liverpool John Moores University,5500
2006,London Metropolitan University,3745
2006,London School of Economics and Political Science,1300
2006,London South Bank University,3180
2006,Loughborough University,3450
2006,University of Manchester,7210
2006,Middlesex University,2880
2006,Newman University,605
2006,University of Northampton,1910
2006,Norwich University of the Arts,395
2006,Northumbria University,4660
2006,University of Nottingham,5915
2006,University of Oxford,3255
2006,Oxford Brookes University,3280
2006,University of Plymouth,4160
2006,Plymouth College of Art,175
2006,University of Portsmouth,4295
2006,Ravensbourne,445
2006,University of Reading,3305
2006,Royal Agricultural University,190
2006,"Royal Holloway, University of London",2155
2006,University of Salford,4050
2006,University of Sheffield,4595
2006,Sheffield Hallam University,5880
2006,University of Southampton,4320
2006,Southampton Solent University,3220
2006,"St George's, University of London",550
2006,St Mary's University,930
2006,University of Sunderland,2215
2006,University of Surrey,2155
2006,University of Sussex,2470
2006,Teesside University,2260
2006,University of West London,1835
2006,University of the Arts London,3640
2006,University College London,3305
2006,University of Warwick,3415
2006,University of Westminster,4740
2006,University of Wolverhampton,3775
2006,University of Winchester,1315
2006,University of Worcester,1240
2006,Writtle University College,280
2006,University of York,2630
2006,York St John University,1295
2007,Anglia Ruskin University,2540
2007,Aston University,2240
2007,University of Bath,2740
2007,Bath Spa University,1770
2007,University of Bedfordshire,2180
2007,Bedford College Group,55
2007,University of Birmingham,5335
2007,University College Birmingham,1010
2007,Bishop Grosseteste University,430
2007,University of Bolton,735
2007,Bournemouth University,3655
2007,University of Bradford,2790
2007,University of Brighton,4685
2007,University of Bristol,3845
2007,University of the West of England,6360
2007,Brunel University,3670
2007,University of Buckingham,55
2007,Buckinghamshire New University,1040
2007,University of Cambridge,3380
2007,Canterbury Christ Church University,2255
2007,Birmingham City University,3540
2007,University of Central Lancashire,4790
2007,University of Chester,2560
2007,University of Chichester,1135
2007,"City, University of London",2315
2007,"Courtauld Institute of Art, University of London",55
2007,Coventry University,4560
2007,De Montfort University,4200
2007,University of Derby,2485
2007,University of Durham,3650
2007,University of East Anglia,3015
2007,University of East London,4215
2007,Edge Hill University,2520
2007,University of Essex,2290
2007,University of Exeter,3570
2007,Falmouth University,840
2007,University of Gloucestershire,2180
2007,"Goldsmiths, University of London",1740
2007,University of Greenwich,3050
2007,Harper Adams University,520
2007,University of Hertfordshire,4065
2007,Heythrop College,165
2007,University of Huddersfield,4060
2007,University of Hull,4195
2007,Imperial College London,2375
2007,University of Keele,1665
2007,University of Kent,4230
2007,"King's College London, University of London",3280
2007,Kingston University,6180
2007,Lancaster University,2695
2007,Leeds City College,125
2007,University of Leeds,7055
2007,Leeds Trinity University,715
2007,Leeds Beckett University,6830
2007,Leeds Arts University,445
2007,Leeds College of Music,165
2007,University of Leicester,3070
2007,University of Lincoln,3350
2007,University of Liverpool,4345
2007,Liverpool Hope University,1685
2007,Liverpool Institute for Performing Arts,200
2007,Liverpool John Moores University,6185
2007,London Metropolitan University,4020
2007,London School of Economics and Political Science,1415
2007,London South Bank University,2795
2007,Loughborough University,3835
2007,University of Manchester,8500
2007,Middlesex University,3165
2007,Newman University,650
2007,University of Northampton,2200
2007,Norwich University of the Arts,480
2007,Northumbria University,5020
2007,University of Nottingham,5915
2007,University of Oxford,3260
2007,Oxford Brookes University,3565
2007,University of Plymouth,4255
2007,Plymouth College of Art,145
2007,University of Portsmouth,4825
2007,Ravensbourne,405
2007,University of Reading,2965
2007,Royal Agricultural University,240
2007,"Royal Holloway, University of London",2370
2007,University of Salford,4185
2007,University of Sheffield,5005
2007,Sheffield Hallam University,6525
2007,University of Southampton,4515
2007,Southampton Solent University,3710
2007,"St George's, University of London",605
2007,St Mary's University,930
2007,University of Sunderland,2145
2007,University of Surrey,2480
2007,University of Sussex,2615
2007,Teesside University,2295
2007,University of West London,1790
2007,University of the Arts London,4050
2007,University College London,3570
2007,University of Warwick,3715
2007,University of Westminster,4845
2007,University of Wolverhampton,4150
2007,University of Winchester,1470
2007,University of Worcester,1570
2007,Writtle University College,245
2007,University of York,2745
2007,York St John University,1335
2008,Anglia Ruskin University,2610
2008,Aston University,2135
2008,University of Bath,2835
2008,Bath Spa University,1930
2008,University of Bedfordshire,2765
2008,Bedford College Group,40
2008,University of Birmingham,5795
2008,University College Birmingham,1160
2008,Bishop Grosseteste University,430
2008,University of Bolton,740
2008,Bournemouth University,4120
2008,University of Bradford,3115
2008,University of Brighton,5345
2008,University of Bristol,3735
2008,University of the West of England,6885
2008,Brunel University,3540
2008,University of Buckingham,50
2008,Buckinghamshire New University,1685
2008,University of Cambridge,3525
2008,Canterbury Christ Church University,2770
2008,Birmingham City University,5010
2008,University of Central Lancashire,5660
2008,University of Chester,2705
2008,University of Chichester,1255
2008,"City, University of London",2705
2008,"Courtauld Institute of Art, University of London",55
2008,Coventry University,5080
2008,University of Cumbria,1900
2008,De Montfort University,4680
2008,University of Derby,2790
2008,University of Durham,3645
2008,University of East Anglia,3370
2008,University of East London,4720
2008,Edge Hill University,2940
2008,University of Essex,2680
2008,University of Exeter,3925
2008,Falmouth University,915
2008,University of Gloucestershire,2370
2008,"Goldsmiths, University of London",2005
2008,University of Greenwich,3735
2008,Harper Adams University,555
2008,University of Hertfordshire,5510
2008,Heythrop College,170
2008,University of Huddersfield,4190
2008,University of Hull,4795
2008,Imperial College London,2405
2008,University of Keele,2085
2008,University of Kent,4690
2008,"King's College London, University of London",3790
2008,Kingston University,7235
2008,Lancaster University,2975
2008,Leeds City College,180
2008,University of Leeds,7580
2008,Leeds Trinity University,900
2008,Leeds Beckett University,7445
2008,Leeds Arts University,440
2008,Leeds College of Music,230
2008,University of Leicester,3360
2008,University of Lincoln,3210
2008,University of Liverpool,4415
2008,Liverpool Hope University,1670
2008,Liverpool Institute for Performing Arts,205
2008,Liverpool John Moores University,6925
2008,London Metropolitan University,3760
2008,London School of Economics and Political Science,1300
2008,London South Bank University,3670
2008,Loughborough University,3975
2008,University of Manchester,9295
2008,Middlesex University,3205
2008,Newman University,695
2008,University of Northampton,2405
2008,Norwich University of the Arts,485
2008,Northumbria University,6040
2008,University of Nottingham,7560
2008,University of Oxford,3255
2008,Oxford Brookes University,3655
2008,University of Plymouth,5240
2008,Plymouth College of Art,195
2008,University of Portsmouth,5395
2008,Ravensbourne,525
2008,University of Reading,3025
2008,Royal Agricultural University,330
2008,"Royal Holloway, University of London",2555
2008,University of Salford,4895
2008,University of Sheffield,4955
2008,Sheffield Hallam University,8060
2008,University of Southampton,5100
2008,Southampton Solent University,4145
2008,"St George's, University of London",655
2008,St Mary's University,1135
2008,University of Sunderland,2530
2008,University of Surrey,2900
2008,University of Sussex,2890
2008,Teesside University,2775
2008,University of West London,2220
2008,University of the Arts London,4070
2008,University College London,3780
2008,University of Warwick,3840
2008,University of Westminster,4995
2008,University of Wolverhampton,4310
2008,University of Winchester,1675
2008,University of Worcester,2075
2008,Writtle University College,300
2008,University of York,3195
2008,York St John University,1390
2009,Anglia Ruskin University,3080
2009,Aston University,2285
2009,University of Bath,2905
2009,Bath Spa University,2070
2009,University of Bedfordshire,3705
2009,Bedford College Group,55
2009,Birmingham City University,5565
2009,University of Birmingham,5750
2009,University College Birmingham,1050
2009,Bishop Grosseteste University,480
2009,University of Bolton,1045
2009,Bournemouth University,4540
2009,University of Bradford,3355
2009,University of Brighton,5615
2009,University of Bristol,3525
2009,University of the West of England,7260
2009,Brunel University,3745
2009,University of Buckingham,90
2009,Buckinghamshire New University,2255
2009,University of Cambridge,3470
2009,Canterbury Christ Church University,2955
2009,University of Central Lancashire,6085
2009,University of Chester,2910
2009,University of Chichester,1275
2009,"City, University of London",2770
2009,"Courtauld Institute of Art, University of London",55
2009,Coventry University,5870
2009,University of Cumbria,2275
2009,De Montfort University,6040
2009,University of Derby,3290
2009,University of Durham,3685
2009,University of East Anglia,3295
2009,University of East London,4995
2009,Edge Hill University,3785
2009,University of Essex,3045
2009,University of Exeter,4095
2009,Falmouth University,1015
2009,University of Gloucestershire,2425
2009,"Goldsmiths, University of London",1825
2009,University of Greenwich,4120
2009,Harper Adams University,660
2009,University of Hertfordshire,6760
2009,Heythrop College,210
2009,University of Huddersfield,4405
2009,University of Hull,4955
2009,Imperial College London,2410
2009,University of Keele,2570
2009,University of Kent,4910
2009,"King's College London, University of London",3895
2009,Kingston University,7940
2009,Lancaster University,2880
2009,Leeds City College,190
2009,University of Leeds,7140
2009,Leeds Trinity University,850
2009,Leeds Beckett University,6685
2009,Leeds Arts University,470
2009,Leeds College of Music,170
2009,University of Leicester,3025
2009,University of Lincoln,3670
2009,University of Liverpool,4085
2009,Liverpool Hope University,1720
2009,Liverpool Institute for Performing Arts,175
2009,Liverpool John Moores University,6130
2009,London College,215
2009,London Metropolitan University,3380
2009,London School of Economics and Political Science,1430
2009,London South Bank University,3460
2009,Loughborough University,3430
2009,University of Manchester,9085
2009,Middlesex University,3705
2009,Newman University,750
2009,University of Northampton,2970
2009,Norwich University of the Arts,610
2009,Northumbria University,5855
2009,University of Nottingham,7360
2009,University of Oxford,3265
2009,Oxford Brookes University,4155
2009,University of Plymouth,5125
2009,Plymouth College of Art,230
2009,University of Portsmouth,5430
2009,Ravensbourne,570
2009,University of Reading,2890
2009,Royal Agricultural University,280
2009,"Royal Holloway, University of London",2355
2009,University of Salford,5210
2009,University of Sheffield,5185
2009,Sheffield Hallam University,8125
2009,University of Southampton,5000
2009,Southampton Solent University,3830
2009,"St George's, University of London",605
2009,St Mary's University,1190
2009,University of Sunderland,2730
2009,University of Surrey,3010
2009,University of Sussex,2920
2009,Teesside University,3285
2009,University of West London,2875
2009,University of the Arts London,4350
2009,University College London,3575
2009,University of Warwick,3890
2009,University of Westminster,5460
2009,University of Wolverhampton,5415
2009,University of Winchester,1635
2009,University of Worcester,2545
2009,Writtle University College,315
2009,University of York,3510
2009,York St John University,1365
2010,Anglia Ruskin University,3575
2010,Aston University,2205
2010,University of Bath,2920
2010,Bath Spa University,2100
2010,University of Bedfordshire,3830
2010,Bedford College Group,50
2010,"Birkbeck, University of London",150
2010,Birmingham City University,5100
2010,Birmingham Metropolitan College,60
2010,University of Birmingham,5480
2010,University College Birmingham,1275
2010,Bishop Grosseteste University,645
2010,University of Bolton,1390
2010,Bournemouth University,4065
2010,University of Bradford,3420
2010,University of Brighton,6105
2010,University of Bristol,3860
2010,University of the West of England,7060
2010,Brunel University,3600
2010,University of Buckingham,140
2010,Buckinghamshire New University,2060
2010,University of Cambridge,3380
2010,Canterbury Christ Church University,3395
2010,University of Central Lancashire,6410
2010,University of Chester,2885
2010,University of Chichester,1570
2010,"City, University of London",2820
2010,"Courtauld Institute of Art, University of London",45
2010,Coventry University,6255
2010,University of Cumbria,2250
2010,De Montfort University,4695
2010,University of Derby,3225
2010,University of Durham,3675
2010,University of East Anglia,3420
2010,University of East London,5515
2010,Edge Hill University,3585
2010,University of Essex,3065
2010,University of Exeter,4175
2010,Falmouth University,1455
2010,University of Gloucestershire,2215
2010,"Goldsmiths, University of London",1720
2010,University of Greenwich,6155
2010,Harper Adams University,760
2010,University of Hertfordshire,4725
2010,Heythrop College,195
2010,University of Huddersfield,4460
2010,University of Hull,4730
2010,Imperial College London,2475
2010,University of Keele,2120
2010,University of Kent,5240
2010,"King's College London, University of London",4060
2010,Kingston University,7525
2010,Lancaster University,2995
2010,Leeds City College,125
2010,University of Leeds,7460
2010,Leeds Trinity University,870
2010,Leeds Beckett University,7195
2010,Leeds Arts University,385
2010,Leeds College of Music,185
2010,University of Leicester,3095
2010,University of Lincoln,3435
2010,University of Liverpool,4430
2010,Liverpool Hope University,1630
2010,Liverpool Institute for Performing Arts,210
2010,Liverpool John Moores University,6025
2010,London College,235
2010,London Metropolitan University,4300
2010,London School of Economics and Political Science,1290
2010,London South Bank University,4340
2010,Loughborough University,3525
2010,University of Manchester,8940
2010,Middlesex University,4750
2010,Newman University,600
2010,University of Northampton,3290
2010,Norwich University of the Arts,580
2010,Northumbria University,5810
2010,University of Nottingham,6900
2010,University of Oxford,3215
2010,Oxford Brookes University,4445
2010,University of Plymouth,7560
2010,Plymouth College of Art,325
2010,University of Portsmouth,5695
2010,Ravensbourne,550
2010,University of Reading,2790
2010,Royal Agricultural University,350
2010,"Royal Holloway, University of London",2390
2010,University of Salford,4580
2010,University of Sheffield,5050
2010,Sheffield Hallam University,8040
2010,University of Southampton,5405
2010,Southampton Solent University,3390
2010,"St George's, University of London",565
2010,St Mary's University,1260
2010,University of Sunderland,2585
2010,University of Surrey,3215
2010,University of Sussex,3075
2010,Teesside University,3700
2010,University of West London,2550
2010,University of the Arts London,4495
2010,University College London,4030
2010,University of Warwick,4180
2010,University of Westminster,5270
2010,University of Wolverhampton,4435
2010,University of Winchester,1580
2010,University of Worcester,2695
2010,Writtle University College,435
2010,University of York,3925
2010,York St John University,1380
2011,Anglia Ruskin University,4065
2011,Arts University Bournemouth,1010
2011,Aston University,1990
2011,University of Bath,2830
2011,Bath Spa University,2020
2011,University of Bedfordshire,4305
2011,Bedford College Group,55
2011,"Birkbeck, University of London",290
2011,Birmingham City University,5215
2011,Birmingham Metropolitan College,75
2011,University of Birmingham,5520
2011,University College Birmingham,1335
2011,Bishop Grosseteste University,580
2011,University of Bolton,1685
2011,Bournemouth University,4340
2011,University of Bradford,3375
2011,University of Brighton,5325
2011,University of Bristol,3690
2011,University of the West of England,7285
2011,Brunel University,3280
2011,University of Buckingham,245
2011,Buckinghamshire New University,2325
2011,University of Cambridge,3260
2011,Canterbury Christ Church University,3925
2011,University of Central Lancashire,6355
2011,University of Chester,2935
2011,University of Chichester,1510
2011,"City, University of London",2995
2011,"Courtauld Institute of Art, University of London",55
2011,Coventry University,5105
2011,University of Cumbria,2390
2011,De Montfort University,5230
2011,University of Derby,3555
2011,University of Durham,3800
2011,University of East Anglia,3505
2011,University of East London,5510
2011,Edge Hill University,3900
2011,University of Essex,3165
2011,University of Exeter,4220
2011,Falmouth University,1410
2011,University of Gloucestershire,2405
2011,"Goldsmiths, University of London",1745
2011,University of Greenwich,5225
2011,Harper Adams University,730
2011,University of Hertfordshire,5620
2011,Heythrop College,190
2011,University of Huddersfield,4865
2011,University of Hull,4880
2011,Imperial College London,2375
2011,University of Keele,2155
2011,University of Kent,5280
2011,"King's College London, University of London",3880
2011,Kingston University,6810
2011,Lancaster University,2880
2011,Leeds City College,175
2011,University of Leeds,6845
2011,Leeds Trinity University,905
2011,Leeds Beckett University,8085
2011,Leeds Arts University,400
2011,Leeds College of Music,315
2011,University of Leicester,3115
2011,University of Lincoln,3715
2011,University of Liverpool,4370
2011,Liverpool Hope University,1760
2011,Liverpool Institute for Performing Arts,240
2011,Liverpool John Moores University,6285
2011,London College,350
2011,London Metropolitan University,7210
2011,London School of Economics and Political Science,1270
2011,London South Bank University,3895
2011,Loughborough University,3440
2011,University of Manchester,8115
2011,Middlesex University,4620
2011,Newman University,660
2011,University of Northampton,3080
2011,Norwich University of the Arts,610
2011,Northumbria University,6290
2011,University of Nottingham,7185
2011,University of Oxford,3235
2011,Oxford Brookes University,3935
2011,University of Plymouth,5925
2011,Plymouth College of Art,310
2011,University of Portsmouth,5305
2011,Ravensbourne,705
2011,University of Reading,2950
2011,Royal Agricultural University,365
2011,"Royal Holloway, University of London",2450
2011,University of Salford,4810
2011,University of Sheffield,5195
2011,Sheffield Hallam University,8210
2011,University of Southampton,5190
2011,Southampton Solent University,3920
2011,"St George's, University of London",645
2011,St Mary's University,1235
2011,University of Sunderland,2830
2011,University of Surrey,2515
2011,University of Sussex,3205
2011,Teesside University,3380
2011,University of West London,2740
2011,University of the Arts London,4665
2011,University College London,3615
2011,University of Warwick,3845
2011,University of Westminster,5090
2011,University of Wolverhampton,4855
2011,University of Winchester,1755
2011,University of Worcester,2920
2011,Writtle University College,460
2011,University of York,3700
2011,York St John University,1490
2012,Anglia Ruskin University,4360
2012,Arts University Bournemouth,955
2012,Aston University,2140
2012,University of Bath,2990
2012,Bath Spa University,1920
2012,University of Bedfordshire,3815
2012,Bedford College Group,80
2012,"Birkbeck, University of London",665
2012,Birmingham City University,5310
2012,Birmingham Metropolitan College,110
2012,University of Birmingham,5135
2012,University College Birmingham,1310
2012,Bishop Grosseteste University,610
2012,University of Bolton,1260
2012,Bournemouth University,3920
2012,University of Bradford,2750
2012,University of Brighton,5415
2012,University of Bristol,4715
2012,University of the West of England,6585
2012,Brunel University,2820
2012,University of Buckingham,155
2012,Buckinghamshire New University,2380
2012,University of Cambridge,3400
2012,Canterbury Christ Church University,3675
2012,University of Central Lancashire,5320
2012,University of Chester,3065
2012,University of Chichester,1590
2012,"City, University of London",2880
2012,City and Islington College,20
2012,"Courtauld Institute of Art, University of London",50
2012,Coventry University,5430
2012,University of Cumbria,1950
2012,De Montfort University,4640
2012,University of Derby,3000
2012,University of Durham,4025
2012,University of East Anglia,3540
2012,University of East London,4385
2012,Edge Hill University,3550
2012,University of Essex,2905
2012,University of Exeter,4355
2012,Falmouth University,1445
2012,University of Gloucestershire,2215
2012,"Goldsmiths, University of London",1800
2012,University of Greenwich,4035
2012,Harper Adams University,790
2012,University of Hertfordshire,4730
2012,Heythrop College,150
2012,University of Huddersfield,4960
2012,University of Hull,4355
2012,Imperial College London,2225
2012,University of Keele,2025
2012,University of Kent,4940
2012,"King's College London, University of London",4330
2012,Kingston University,6210
2012,Lancaster University,2780
2012,Leeds City College,315
2012,University of Leeds,6430
2012,Leeds Trinity University,870
2012,Leeds Beckett University,6265
2012,Leeds Arts University,395
2012,Leeds College of Music,360
2012,University of Leicester,3115
2012,University of Lincoln,3135
2012,University of Liverpool,3945
2012,Liverpool Hope University,1475
2012,Liverpool Institute for Performing Arts,220
2012,Liverpool John Moores University,5475
2012,London College,150
2012,London Metropolitan University,4080
