year,university,admissions
2012,London School of Economics and Political Science,1415
2012,London South Bank University,3740
2012,Loughborough University,3360
2012,University of Manchester,7860
2012,Middlesex University,4140
2012,Newman University,535
2012,University of Northampton,3015
2012,Norwich University of the Arts,635
2012,Northumbria University,5715
2012,University of Nottingham,7160
2012,University of Oxford,3280
2012,Oxford Brookes University,3810
2012,University of Plymouth,5175
2012,Plymouth College of Art,380
2012,University of Portsmouth,5290
2012,Ravensbourne,810
2012,University of Reading,2945
2012,Royal Agricultural University,315
2012,"Royal Holloway, University of London",2375
2012,University of Salford,3955
2012,University of Sheffield,4710
2012,Sheffield Hallam University,7425
2012,University of Southampton,4500
2012,Southampton Solent University,3810
2012,"St George's, University of London",655
2012,St Mary's University,1245
2012,University of Sunderland,2505
2012,University of Surrey,2105
2012,University of Sussex,3220
2012,Teesside University,3425
2012,University of the Arts London,4305
2012,University College London,4395
2012,University of West London,2395
2012,University of Warwick,3830
2012,University of Westminster,4505
2012,University of Wolverhampton,4585
2012,University of Winchester,1915
2012,University of Worcester,2680
2012,Writtle University College,295
2012,University of York,3750
2012,York St John University,1640
2013,Anglia Ruskin University,4160
2013,Arts University Bournemouth,1060
2013,Aston University,2510
2013,University of Bath,3080
2013,Bath Spa University,1945
2013,University of Bedfordshire,3220
2013,Bedford College Group,215
2013,"Birkbeck, University of London",1155
2013,Birmingham City University,6095
2013,Birmingham Metropolitan College,75
2013,University of Birmingham,5890
2013,University College Birmingham,1430
2013,Bishop Grosseteste University,640
2013,University of Bolton,1250
2013,Bournemouth University,4270
2013,University of Bradford,2870
2013,University of Brighton,4890
2013,University of Bristol,4810
2013,University of the West of England,6795
2013,Brunel University,2950
2013,University of Buckingham,160
2013,Buckinghamshire New University,2315
2013,University of Cambridge,3355
2013,Canterbury Christ Church University,3745
2013,University of Central Lancashire,5780
2013,University of Chester,3190
2013,University of Chichester,1515
2013,"City, University of London",3080
2013,City and Islington College,80
2013,"Courtauld Institute of Art, University of London",50
2013,Coventry University,5885
2013,University of Cumbria,1915
2013,De Montfort University,4840
2013,University of Derby,3170
2013,University of Durham,4165
2013,University of East Anglia,3440
2013,University of East London,4255
2013,Edge Hill University,3570
2013,University of Essex,3135
2013,University of Exeter,5505
2013,Falmouth University,1425
2013,University of Gloucestershire,2105
2013,"Goldsmiths, University of London",1895
2013,University of Greenwich,4950
2013,Harper Adams University,695
2013,University of Hertfordshire,4905
2013,Heythrop College,150
2013,University of Huddersfield,4385
2013,University of Hull,4315
2013,Imperial College London,2425
2013,University of Keele,2060
2013,University of Kent,5190
2013,"King's College London, University of London",4435
2013,Kingston University,6005
2013,Lancaster University,3060
2013,Leeds City College,190
2013,University of Leeds,6810
2013,Leeds Trinity University,1020
2013,Leeds Beckett University,7345
2013,Leeds Arts University,420
2013,Leeds College of Music,370
2013,University of Leicester,3250
2013,University of Lincoln,3440
2013,University of Liverpool,4285
2013,Liverpool Hope University,1360
2013,Liverpool Institute for Performing Arts,215
2013,Liverpool John Moores University,6315
2013,London College,600
2013,London Metropolitan University,4295
2013,London School of Economics and Political Science,1430
2013,London South Bank University,3655
2013,Loughborough University,4125
2013,University of Manchester,8605
2013,Middlesex University,4350
2013,Newman University,675
2013,University of Northampton,3190
2013,Norwich University of the Arts,645
2013,Northumbria University,6370
2013,University of Nottingham,6995
2013,University of Oxford,3225
2013,Oxford Brookes University,4655
2013,University of Plymouth,5360
2013,Plymouth College of Art,385
2013,University of Portsmouth,5240
2013,Ravensbourne,835
2013,University of Reading,3150
2013,Royal Agricultural University,335
2013,"Royal Holloway, University of London",2295
2013,University of Salford,4410
2013,University of Sheffield,5425
2013,Sheffield Hallam University,7465
2013,University of Southampton,5480
2013,Southampton Solent University,3535
2013,"St George's, University of London",640
2013,St Mary's University,1305
2013,University of Sunderland,2810
2013,University of Surrey,2800
2013,University of Sussex,3545
2013,Teesside University,3545
2013,University of the Arts London,4335
2013,University College London,4900
2013,University of West London,2625
2013,University of Warwick,4305
2013,University of Westminster,5235
2013,University of Wolverhampton,4285
2013,University of Winchester,2100
2013,University of Worcester,2955
2013,Writtle University College,290
2013,University of York,4045
2013,York St John University,1870
2014,Anglia Ruskin University,4415
2014,Arts University Bournemouth,1020
2014,Aston University,2655
2014,University of Bath,3395
2014,Bath Spa University,2115
2014,University of Bedfordshire,3220
2014,Bedford College Group,195
2014,"Birkbeck, University of London",1340
2014,Birmingham City University,6215
2014,Birmingham Metropolitan College,110
2014,University of Birmingham,6325
2014,University College Birmingham,1480
2014,Bishop Grosseteste University,725
2014,University of Bolton,1605
2014,Bournemouth University,4505
2014,University of Bradford,2550
2014,University of Brighton,5435
2014,University of Bristol,5165
2014,University of the West of England,6370
2014,Brunel University,2840
2014,University of Buckingham,105
2014,Buckinghamshire New University,2410
2014,University of Cambridge,3425
2014,Canterbury Christ Church University,3775
2014,University of Central Lancashire,6640
2014,University of Chester,3555
2014,University of Chichester,1575
2014,"City, University of London",3255
2014,City and Islington College,60
2014,"Courtauld Institute of Art, University of London",55
2014,Coventry University,6465
2014,University of Cumbria,1895
2014,De Montfort University,5200
2014,University of Derby,3615
2014,University of Durham,4175
2014,University of East Anglia,3280
2014,University of East London,4360
2014,Edge Hill University,3825
2014,University of Essex,3765
2014,University of Exeter,5820
2014,Falmouth University,1735
2014,University of Gloucestershire,2300
2014,"Goldsmiths, University of London",2100
2014,University of Greenwich,4950
2014,Harper Adams University,660
2014,University of Hertfordshire,5405
2014,Heythrop College,130
2014,University of Huddersfield,4530
2014,University of Hull,3895
2014,Imperial College London,2515
2014,University of Keele,2270
2014,University of Kent,5215
2014,"King's College London, University of London",5035
2014,Kingston University,6410
2014,Lancaster University,2910
2014,Leeds City College,215
2014,University of Leeds,6985
2014,Leeds Trinity University,995
2014,Leeds Beckett University,7560
2014,Leeds Arts University,450
2014,Leeds College of Music,400
2014,University of Leicester,3395
2014,University of Lincoln,3385
2014,University of Liverpool,4895
2014,Liverpool Hope University,1475
2014,Liverpool Institute for Performing Arts,190
2014,Liverpool John Moores University,6620
2014,London College,50
2014,London Metropolitan University,3995
2014,London School of Economics and Political Science,1685
2014,London School of Business and Management,235
2014,London South Bank University,3880
2014,Loughborough University,3530
2014,University of Manchester,9040
2014,Middlesex University,3970
2014,Newman University,725
2014,University of Northampton,3355
2014,Norwich University of the Arts,725
2014,Northumbria University,5850
2014,University of Nottingham,6755
2014,University of Oxford,3190
2014,Oxford Brookes University,4265
2014,University of Plymouth,5540
2014,Plymouth College of Art,420
2014,University of Portsmouth,5755
2014,Ravensbourne,825
2014,University of Reading,3560
2014,Royal Agricultural University,380
2014,"Royal Holloway, University of London",2585
2014,University of Salford,4805
2014,University of Sheffield,5560
2014,Sheffield Hallam University,8080
2014,University of Southampton,5065
2014,Southampton Solent University,3645
2014,"St George's, University of London",770
2014,St Mary's University,1465
2014,University of Sunderland,2655
2014,University of Surrey,3260
2014,University of Sussex,3590
2014,Teesside University,3570
2014,University of the Arts London,4505
2014,University College London,5030
2014,University of West London,2550
2014,University of Warwick,4245
2014,University of Westminster,5560
2014,University of Wolverhampton,4810
2014,University of Winchester,2250
2014,University of Worcester,2815
2014,Writtle University College,345
2014,University of York,4000
2014,York St John University,1735
2015,Anglia Ruskin University,4150
2015,Arts University Bournemouth,1280
2015,Aston University,3370
2015,University of Bath,3635
2015,Bath Spa University,2515
2015,University of Bedfordshire,3095
2015,Bedford College Group,225
2015,"Birkbeck, University of London",1405
2015,Birmingham City University,6265
2015,Birmingham Metropolitan College,85
2015,University of Birmingham,6440
2015,University College Birmingham,1725
2015,Bishop Grosseteste University,825
2015,University of Bolton,1630
2015,Bournemouth University,4785
2015,University of Bradford,2565
2015,University of Brighton,5575
2015,University of Bristol,5385
2015,University of the West of England,6120
2015,Brunel University,3150
2015,University of Buckingham,105
2015,Buckinghamshire New University,2435
2015,University of Cambridge,3430
2015,Canterbury Christ Church University,3695
2015,University of Central Lancashire,6305
2015,University of Chester,3425
2015,University of Chichester,1565
2015,"City, University of London",3410
2015,City and Islington College,60
2015,"Courtauld Institute of Art, University of London",70
2015,Coventry University,7515
2015,University of Cumbria,1765
2015,De Montfort University,6015
2015,University of Derby,3615
2015,University of Durham,4190
2015,University of East Anglia,4170
2015,University of East London,3865
2015,Edge Hill University,4035
2015,University of Essex,3910
2015,University of Exeter,5810
2015,Falmouth University,1895
2015,University of Gloucestershire,2535
2015,"Goldsmiths, University of London",2340
2015,University of Greenwich,4810
2015,Harper Adams University,740
2015,University of Hertfordshire,5690
2015,University of Huddersfield,4210
2015,University of Hull,4375
2015,Imperial College London,2630
2015,University of Keele,2670
2015,University of Kent,5485
2015,"King's College London, University of London",5620
2015,Kingston University,5655
2015,Lancaster University,3110
2015,Leeds City College,220
2015,University of Leeds,7150
2015,Leeds Trinity University,1140
2015,Leeds Beckett University,7145
2015,Leeds Arts University,570
2015,Leeds College of Music,295
2015,University of Leicester,3710
2015,University of Lincoln,3690
2015,University of Liverpool,5610
2015,Liverpool Hope University,1575
2015,Liverpool Institute for Performing Arts,230
2015,Liverpool John Moores University,6615
2015,London College,20
2015,London Metropolitan University,3610
2015,London School of Economics and Political Science,1665
2015,London School of Business and Management,735
2015,London South Bank University,3470
2015,Loughborough University,4050
2015,University of Manchester,9330
2015,Middlesex University,5275
2015,Newman University,730
2015,University of Northampton,3360
2015,Norwich University of the Arts,750
2015,Northumbria University,5865
2015,University of Nottingham,7600
2015,University of Oxford,3255
2015,Oxford Brookes University,4965
2015,University of Plymouth,5030
2015,Plymouth College of Art,525
2015,University of Portsmouth,5545
2015,Ravensbourne,830
2015,University of Reading,3775
2015,Royal Agricultural University,375
2015,"Royal Holloway, University of London",2645
2015,University of Salford,5445
2015,University of Sheffield,5790
2015,Sheffield Hallam University,8200
2015,University of Southampton,6200
2015,Southampton Solent University,3245
2015,"St George's, University of London",755
2015,St Mary's University,1590
2015,University of Sunderland,2465
2015,University of Surrey,3390
2015,University of Sussex,4190
2015,Teesside University,3995
2015,University of the Arts London,4405
2015,University College London,5455
2015,University of West London,2905
2015,University of Warwick,4810
2015,University of Westminster,5230
2015,University of Wolverhampton,4865
2015,University of Winchester,2385
2015,University of Worcester,3235
2015,Writtle University College,305
2015,University of York,4185
2015,York St John University,1565
2016,Anglia Ruskin University,4305
2016,Arts University Bournemouth,1180
2016,Aston University,3335
2016,University of Bath,3710
2016,Bath Spa University,2625
2016,University of Bedfordshire,3440
2016,Bedford College Group,250
2016,"Birkbeck, University of London",1305
2016,Birmingham City University,6335
2016,Birmingham Metropolitan College,35
2016,University of Birmingham,6400
2016,University College Birmingham,1520
2016,Bishop Grosseteste University,690
2016,University of Bolton,1510
2016,Bournemouth University,4910
2016,University of Bradford,2540
2016,University of Brighton,5440
2016,University of Bristol,5530
2016,University of the West of England,6325
2016,Brunel University,3115
2016,University of Buckingham,165
2016,Buckinghamshire New University,2820
2016,University of Cambridge,3440
2016,Canterbury Christ Church University,3625
2016,University of Central Lancashire,5585
2016,University of Chester,3770
2016,University of Chichester,1625
2016,"City, University of London",3550
2016,City and Islington College,35
2016,"Courtauld Institute of Art, University of London",80
2016,Coventry University,8130
2016,University of Cumbria,1625
2016,De Montfort University,6525
2016,University of Derby,4070
2016,University of Durham,4475
2016,University of East Anglia,4390
2016,University of East London,3720
2016,Edge Hill University,3985
2016,University of Essex,4240
2016,University of Exeter,5960
2016,Falmouth University,2150
2016,University of Gloucestershire,2740
2016,"Goldsmiths, University of London",2660
2016,University of Greenwich,4640
2016,Harper Adams University,705
2016,University of Hertfordshire,5570
2016,University of Huddersfield,3980
2016,University of Hull,4380
2016,Imperial College London,2545
2016,University of Keele,2740
2016,University of Kent,5315
2016,"King's College London, University of London",6010
2016,Kingston University,4880
2016,Lancaster University,3230
2016,Leeds City College,180
2016,University of Leeds,7390
2016,Leeds Trinity University,1105
2016,Leeds Beckett University,6395
2016,Leeds Arts University,540
2016,Leeds College of Music,355
2016,University of Leicester,4180
2016,University of Lincoln,4100
2016,University of Liverpool,5955
2016,Liverpool Hope University,1485
2016,Liverpool Institute for Performing Arts,235
2016,Liverpool John Moores University,6265
2016,London College,5
2016,London Metropolitan University,3415
2016,London School of Economics and Political Science,1625
2016,London School of Business and Management,770
2016,London South Bank University,3710
2016,Loughborough University,3945
2016,University of Manchester,8705
2016,Middlesex University,5545
2016,Newman University,815
2016,University of Northampton,3415
2016,Norwich University of the Arts,800
2016,Northumbria University,6150
2016,University of Nottingham,7540
2016,University of Oxford,3295
2016,Oxford Brookes University,4805
2016,University of Plymouth,5200
2016,Plymouth College of Art,490
2016,University of Portsmouth,6115
2016,Ravensbourne,915
2016,University of Reading,4050
2016,Royal Agricultural University,445
2016,"Royal Holloway, University of London",2880
2016,University of Salford,5205
2016,University of Sheffield,5985
2016,Sheffield Hallam University,8065
2016,University of Southampton,5360
2016,Southampton Solent University,2810
2016,"St George's, University of London",795
2016,St Mary's University,1430
2016,University of Sunderland,2445
2016,University of Surrey,4055
2016,University of Sussex,4650
2016,Teesside University,3990
2016,University of the Arts London,4125
2016,University College London,5590
2016,University of West London,2790
2016,University of Warwick,5070
2016,University of Westminster,4420
2016,University of Wolverhampton,4335
2016,University of Winchester,2380
2016,University of Worcester,3280
2016,Writtle University College,295
2016,University of York,4525
2016,York St John University,2010
2017,Anglia Ruskin University,3600
2017,Arts University Bournemouth,1320
2017,Aston University,3335
2017,University of Bath,3665
2017,Bath Spa University,2495
2017,University of Bedfordshire,3125
2017,Bedford College Group,190
2017,"Birkbeck, University of London",1510
2017,Birmingham City University,6510
2017,Birmingham Metropolitan College,60
2017,University of Birmingham,6730
2017,University College Birmingham,1600
2017,Bishop Grosseteste University,700
2017,University of Bolton,1460
2017,Bournemouth University,4725
2017,University of Bradford,2430
2017,University of Brighton,5250
2017,University of Bristol,5790
2017,University of the West of England,6925
2017,Brunel University,3675
2017,University of Buckingham,205
2017,Buckinghamshire New University,2885
2017,University of Cambridge,3480
2017,Canterbury Christ Church University,3360
2017,University of Central Lancashire,5380
2017,University of Chester,3750
2017,University of Chichester,1435
2017,"City, University of London",3495
2017,City and Islington College,45
2017,"Courtauld Institute of Art, University of London",80
2017,Coventry University,8700
2017,University of Cumbria,1490
2017,De Montfort University,6460
2017,University of Derby,3970
2017,University of Durham,4510
2017,University of East Anglia,4125
2017,University of East London,3250
2017,Edge Hill University,3640
2017,University of Essex,4260
2017,University of Exeter,6065
2017,Falmouth University,2040
2017,University of Gloucestershire,2580
2017,"Goldsmiths, University of London",2780
2017,University of Greenwich,4425
2017,Harper Adams University,660
2017,University of Hertfordshire,5425
2017,University of Huddersfield,4075
2017,University of Hull,4165
2017,Imperial College London,2715
2017,University of Keele,2610
2017,University of Kent,5450
2017,"King's College London, University of London",6030
2017,Kingston University,4610
2017,Lancaster University,3460
2017,Leeds City College,205
2017,University of Leeds,8250
2017,Leeds Trinity University,850
2017,Leeds Beckett University,6200
2017,Leeds Arts University,640
2017,Leeds College of Music,320
2017,University of Leicester,4195
2017,University of Lincoln,4325
2017,University of Liverpool,6070
2017,Liverpool Hope University,1485
2017,Liverpool Institute for Performing Arts,260
2017,Liverpool John Moores University,7135
2017,London College,70
2017,London Metropolitan University,2680
2017,London School of Economics and Political Science,1700
2017,London School of Business and Management,395
2017,London South Bank University,3425
2017,Loughborough University,3980
2017,University of Manchester,8315
2017,Middlesex University,4480
2017,Newman University,865
2017,University of Northampton,2910
2017,Norwich University of the Arts,800
2017,Northumbria University,6180
2017,University of Nottingham,7575
2017,University of Oxford,3295
2017,Oxford Brookes University,4710
2017,University of Plymouth,5205
2017,Plymouth College of Art,525
2017,University of Portsmouth,5875
2017,Ravensbourne,895
2017,University of Reading,4650
2017,Royal Agricultural University,400
2017,"Royal Holloway, University of London",2875
2017,University of Salford,5700
2017,University of Sheffield,5545
2017,Sheffield Hallam University,8090
2017,University of Southampton,4830
2017,Southampton Solent University,2905
2017,"St George's, University of London",770
2017,St Mary's University,1165
2017,University of Sunderland,2100
2017,University of Surrey,4300
2017,University of Sussex,4660
2017,Teesside University,4015
2017,University of the Arts London,4530
2017,University College London,6140
2017,University of West London,2830
2017,University of Warwick,5045
2017,University of Westminster,4790
2017,University of Wolverhampton,4105
2017,University of Winchester,2485
2017,University of Worcester,3150
2017,Writtle University College,295
2017,University of York,4590
2017,York St John University,2290
2018,Anglia Ruskin University,2980
2018,Arts University Bournemouth,1120
2018,Aston University,3000
2018,University of Bath,3665
2018,Bath Spa University,2210
2018,University of Bedfordshire,2540
2018,Bedford College Group,245
2018,"Birkbeck, University of London",1465
2018,Birmingham City University,6235
2018,Birmingham Metropolitan College,40
2018,University of Birmingham,6670
2018,University College Birmingham,1585
2018,Bishop Grosseteste University,725
2018,University of Bolton,1735
2018,Bournemouth University,4535
2018,University of Bradford,2505
2018,University of Brighton,4595
2018,University of Bristol,6120
2018,University of the West of England,7095
2018,Brunel University,3620
2018,University of Buckingham,145
2018,Buckinghamshire New University,1745
2018,University of Cambridge,3445
2018,Canterbury Christ Church University,3650
2018,University of Central Lancashire,5375
2018,University of Chester,3210
2018,University of Chichester,1325
2018,"City, University of London",3670
2018,City and Islington College,35
2018,"Courtauld Institute of Art, University of London",80
2018,Coventry University,8525
2018,University of Cumbria,1275
2018,De Montfort University,7160
2018,University of Derby,3605
2018,University of Durham,4390
2018,University of East Anglia,4365
2018,University of East London,3945
2018,Edge Hill University,3340
2018,University of Essex,4455
2018,University of Exeter,6745
2018,Falmouth University,1810
2018,University of Gloucestershire,2310
2018,"Goldsmiths, University of London",2615
2018,University of Greenwich,4555
2018,Harper Adams University,665
2018,University of Hertfordshire,4960
2018,University of Huddersfield,3915
2018,University of Hull,3770
2018,Imperial College London,2805
2018,University of Keele,2750
2018,University of Kent,5065
2018,"King's College London, University of London",5860
2018,Kingston University,4820
2018,Lancaster University,3590
2018,Leeds City College,335
2018,University of Leeds,8115
2018,Leeds Trinity University,995
2018,Leeds Beckett University,6650
2018,Leeds Arts University,795
2018,Leeds College of Music,390
2018,University of Leicester,3430
2018,University of Lincoln,4675
2018,University of Liverpool,5635
2018,Liverpool Hope University,1555
2018,Liverpool Institute for Performing Arts,235
2018,Liverpool John Moores University,6730
2018,London College,330
2018,London Metropolitan University,2605
2018,London School of Economics and Political Science,1790
2018,London School of Business and Management,1010
2018,London South Bank University,3690
2018,Loughborough University,4310
2018,University of Manchester,8425
2018,Middlesex University,4245
2018,Newman University,760
2018,University of Northampton,3185
2018,Norwich University of the Arts,850
2018,Northumbria University,6100
2018,University of Nottingham,7800
2018,University of Oxford,3320
2018,Oxford Brookes University,4655
2018,University of Plymouth,4520
2018,Plymouth College of Art,470
2018,University of Portsmouth,6040
2018,Ravensbourne,965
2018,University of Reading,3970
2018,Royal Agricultural University,380
2018,"Royal Holloway, University of London",3100
2018,University of Salford,6040
2018,University of Sheffield,5165
2018,Sheffield Hallam University,7675
2018,University of Southampton,4405
2018,Southampton Solent University,2840
2018,"St George's, University of London",835
2018,St Mary's University,1165
2018,University of Sunderland,3520
2018,University of Surrey,4115
2018,University of Sussex,5025
2018,Teesside University,3695
2018,University of the Arts London,4285
2018,University College London,5885
2018,University of West London,2890
2018,University of Warwick,5370
2018,University of Westminster,5075
2018,University of Wolverhampton,4630
2018,University of Winchester,2600
2018,University of Worcester,2825
2018,Writtle University College,245
2018,University of York,4485
2018,York St John University,2205
