university,logo_url
Queen Mary University of London,http://qmul.ac.uk/assets2012/images/qmlogoblk.png
University of Cambridge,https://www.cam.ac.uk/.well-known/logo.png
University of Oxford,http://www.ox.ac.uk/sites/default/themes/custom/oxweb/images/oxweb-logo.gif
Aberystwyth University,https://www.aber.ac.uk/css/images/aber-uni-logo.svg
University of Leeds,http://data.leeds.ac.uk/assets/img/logo_black_larger.png
University of East Anglia,https://portal.uea.ac.uk/documents/6207125/11733624/UEA+Horizontal+logo.png
University of Central Lancashire,http://www.uclan.ac.uk/assets/img/uclan-logo.png
University of Southampton,https://data.southampton.ac.uk/graphics/southampton_opd_logo.png
Imperial College London,https://www.imperial.ac.uk/opd/Imperial_logo.jpg
University of Newcastle Upon Tyne,http://www.ncl.ac.uk/template/graphics/cvi_shield.gif
The University of Surrey,http://magic.surrey.ac.uk/equipment/images/logo.png
The University of Sheffield,https://equipment.shef.ac.uk/uos-logo.svg
The University of Bristol,http://www.bristol.ac.uk/media-library/protected/images/uob-logo-full-colour-largest-2.png
The University of Manchester,http://assets.manchester.ac.uk/corporate/images/design/logo-university-of-manchester.png
Loughborough University,http://www.lboro.ac.uk/-images/lulogo.gif
University of Keele,https://www.keele.ac.uk/k-core/media/header/logo.svg
The University of York,https://www.york.ac.uk/.well-known/Uni-of-York-black.jpg
University of Durham,https://www.dur.ac.uk/images/template/logounidurham-new.png
University of Birmingham,http://www.birmingham.ac.uk/Images/website/logo.gif
University of Aberdeen,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/University_of_Aberdeen_Logo_Full.svg/891px-University_of_Aberdeen_Logo_Full.svg.png
University of Bath,http://www.bath.ac.uk/common/svg/logo.svg
The John Innes Centre,http://data.nbi.ac.uk/equipment/jic/logo.gif
Cardiff University,http://static.cf.ac.uk/cfui/1.6.0/img/logo.png
University of Brighton,https://www.brighton.ac.uk/uob-api/data/uob-logo-bw-320x75.png
The Earlham Institute,http://data.nbi.ac.uk/equipment/ei/logo.png
University of Nottingham,http://www.nottingham.ac.uk/SiteElements/Images/Base/logo.png
Cranfield University,http://www.cranfield.ac.uk/style/images/logo.png
University of Glasgow,http://www.gla.ac.uk/0t4/generic/images/logo_print.gif
University College London,http://www.ucl.ac.uk/visual-identity/logos/standalone.png
University of St Andrews,https://www.st-andrews.ac.uk/~cdn/dpl/0.3.1/images/furniture/logo-foundation.svg
The University of Liverpool,http://www.liv.ac.uk/files/css/images/homepage/h1-2012-logo.png
Sheffield Hallam University,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sheffield_Hallam_University_logo.svg/250px-Sheffield_Hallam_University_logo.svg.png
Birkbeck College,http://www.bbk.ac.uk/bbklogo.jpg
University of Leicester,https://le.ac.uk/~/media/uol/university-of-leicester-logo/uol-logo.png
Quadram Institute,http://data.nbi.ac.uk/equipment/QIB/logo.gif
Natural Environment Research Council,http://www.nerc.ac.uk/nerc/assets/images/logos/nerc/nerc-logo-large.jpg
The Manchester Metropolitan University,https://homemcr.org/cms/wp-content/uploads/2013/03/MMU-logo-colour.jpg
University of Reading,http://www.reading.ac.uk/web/templates/standard_files/logo.gif
University of Strathclyde,https://www.strath.ac.uk/media/1newwebsite/webteam/logos/UoS_Logo_Tab.png
University of Huddersfield,https://halo.hud.ac.uk/silive/images/logo1.gif
University of Hull,https://www.hull.ac.uk/site-elements/img/layout/header/logo/UoH-logo.svg
University of Lancaster,http://www.lancaster.ac.uk/media/lancaster-university/style-assets/images/bg-logo.png
Aston University,http://static.aston.ac.uk/survey/aston%20logo.jpg
University of Exeter,http://www.exeter.ac.uk/designstudio/visualidentity/downloads/logos/colour_logo.jpg
The Babraham Institute,http://www.babraham.ac.uk/babraham-institute-sml.jpg
University of Northumbria At Newcastle,https://www.northumbria.ac.uk/common/images/2x/northumbria-logo.png
"King's College London, University of London",http://www.kcl.ac.uk/SiteElements/Images/KCLlogo130.gif
"St George's, University of London",http://www.sgul.ac.uk/templates/beez3/images/small-logo.png
The Royal Veterinary College,http://www.rvc.ac.uk/cf_images/Logo_RVC_150.jpg
Heriot-Watt University,https://www.hw.ac.uk/dist/assets/images/logo-heriot-watt.png
Oxford Brookes University,http://static.brookes.ac.uk/about/identity/logos/brookes_logo_charcoal_rgb.jpg
University of Edinburgh,https://www.ed.ac.uk/sites/all/themes/uoe/assets/logo.png